CID,POSTALCODE,LOTSIZEACRES,YEARBUILT,BEDS,BATHS,SALESPRICE,SALEDATE,LOANAMOUNT,LENDERTYPE,LOANTYPE,PROPERTYTYPE,ESTIMATEDVALUE,ESTIMATIONDATE,CONFIDENCESCORE
060010315065,90505,0.124,1952,3,1.00,959000,20240706,240000,Bank,Unknown,Residential,1082016,20250601,92
060010315065,90505,0.124,1952,3,1.00,260000,20240706,240000,Bank,Unknown,Residential,1082016,20250601,92
060010315065,90505,0.124,1952,3,1.00,959000,20240706,815150,Mortgage company,New Conventional,Residential,1082016,20250601,92
060010315065,90505,0.124,1952,3,1.00,260000,20240706,815150,Mortgage company,New Conventional,Residential,1082016,20250601,92
370000749140,27804,0.2,1985,2,2.00,115000,20240706,108800,Credit Union,New Conventional,Residential,231393,20250601,93
370000749140,27804,0.2,1985,2,2.00,202500,20240706,108800,Credit Union,New Conventional,Residential,231393,20250601,93
370000749140,27804,0.2,1985,2,2.00,115000,20240706,198831,Mortgage company,FHA,Residential,231393,20250601,93
370000749140,27804,0.2,1985,2,2.00,202500,20240706,198831,Mortgage company,FHA,Residential,231393,20250601,93
370000749140,27804,0.2,1985,2,2.00,115000,20240706,110790,Mortgage company,Stand Alone Refi (Refinance of Original Loan),Residential,231393,20250601,93
370000749140,27804,0.2,1985,2,2.00,202500,20240706,110790,Mortgage company,Stand Alone Refi (Refinance of Original Loan),Residential,231393,20250601,93
060008956175,90220,0.172,1947,3,2.00,525000,20240706,469342,Mortgage company,Reverse Mortgage (Home Equity Conversion Mortgage),Residential,680182,20250601,93
060008956175,90220,0.172,1947,3,2.00,525000,20240706,515490,Mortgage company,New Conventional,Residential,680182,20250601,93
060008956175,90220,0.172,1947,3,2.00,525000,20240706,469342,Mortgage company,Reverse Mortgage (Home Equity Conversion Mortgage),Residential,680182,20250601,93
060008956175,90220,0.172,1947,3,2.00,525000,20240706,515490,Mortgage company,New Conventional,Residential,680182,20250601,93
060008956175,90220,0.172,1947,3,2.00,525000,20240706,469342,Mortgage company,Reverse Mortgage (Home Equity Conversion Mortgage),Residential,680182,20250601,93
060008956175,90220,0.172,1947,3,2.00,525000,20240706,515490,Mortgage company,New Conventional,Residential,680182,20250601,93
060011599235,91326,0.26,1957,3,2.00,987000,20240706,251500,Mortgage company,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,700000,Bank,New Conventional,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,50000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,224000,Bank,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,175000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,251500,Mortgage company,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,700000,Bank,New Conventional,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,50000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,224000,Bank,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,175000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,251500,Mortgage company,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,700000,Bank,New Conventional,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,50000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,224000,Bank,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,175000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,251500,Mortgage company,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,700000,Bank,New Conventional,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,50000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,224000,Bank,Unknown,Residential,1169767,20250601,94
060011599235,91326,0.26,1957,3,2.00,987000,20240706,175000,Bank,Credit Line (Revolving),Residential,1169767,20250601,94
050002050080,72722,0.54,0,3,2.00,122000,20240706,122000,Mortgage company,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,91180,20240706,122000,Mortgage company,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,65000,20240706,122000,Mortgage company,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,122000,20240706,69500,Bank,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,91180,20240706,69500,Bank,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,65000,20240706,69500,Bank,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,122000,20240706,131984,Subprime Lender,Unknown,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,91180,20240706,131984,Subprime Lender,Unknown,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,65000,20240706,131984,Subprime Lender,Unknown,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,122000,20240706,122000,Mortgage company,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,91180,20240706,122000,Mortgage company,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,65000,20240706,122000,Mortgage company,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,122000,20240706,69500,Bank,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,91180,20240706,69500,Bank,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,65000,20240706,69500,Bank,New Conventional,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,122000,20240706,131984,Subprime Lender,Unknown,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,91180,20240706,131984,Subprime Lender,Unknown,Residential,260580,20250601,91
050002050080,72722,0.54,0,3,2.00,65000,20240706,131984,Subprime Lender,Unknown,Residential,260580,20250601,91
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,318000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,250000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,62000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,251500,Mortgage company,Unknown,Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,405000,Bank,Stand Alone Refi (Refinance of Original Loan),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,850000,Bank,New Conventional,Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,819000,Bank,New Conventional,Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,409842,Bank,New Conventional,Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,231800,Mortgage company,Unknown,Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,500000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,417000,Mortgage company,Stand Alone Refi (Refinance of Original Loan),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,117000,Other (company or corporation),Unknown,Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,318000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,250000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,62000,Bank,Credit Line (Revolving),Residential,1758462,20250601,88
060003649447,94618,0.115,1937,3,2.00,1170000,20240706,251500,Mortgage company,Unknown,Residential,1758462,20250601,88
